Last Updated till-,12-Aug-26,,,,,,,,Total Till date,,"8,69,094","1,71,523","3,34,680","1,06,518","35,440","49,063","17,905","18,773",0,"18,150","9,500","11,407","43,072","41,895","1,900","6,040","5,305","10,502","9,166","2,300","73,121","39,643","32,564",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,48,4970,1019,0,,,,,31-Mar-26,,,,,"5,25,701","36,678"
17-Jan-26,0,28,D90304475325,28,,HIVPL/25-26/2994,P3134258,Zepto,Bnglr DRY,15,1400,900,100,100,100,100,100,0,,100,100,100,100,100,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,17,1,2026,,224,,,,400,100
17-Jan-26,0,4,H90304499206,4,,HIVPL/25-26/2995,P3256623,Zepto,NCR JJR,21-Jan,200,100,,,,,100,,,,,,,,,,50,50,,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,17,1,2026,,32,,,,,100
17-Jan-26,0,7,H90304499207,7,,HIVPL/25-26/2996,P3256317,Zepto,NCR JJR,21-Jan,350,250,50,50,,,,,,50,,50,50,50,,,,,50,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,17,1,2026,,56,,,,100,
20-Jan-26,0,2,H90304503093,2,,HIVPL/25-26/3054,P3272242,Zepto,Mumbai SHK,3,100,0,,,,,,,,,,,,,,,,,,,,50,50,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,20,1,2026,,16,,,,,
21-Jan-26,0,6,H90304505147,6,,HIVPL/25-26/3073,P3253665,Zepto,Bnglr DRY,7,300,0,,,,,,,,,,,,,,,,,,,100,100,100,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,21,1,2026,,48,,,,,
21-Jan-26,0,2,H90304505148,2,,HIVPL/25-26/3074,P3259718,Zepto,NCR GUR,24-Jan,100,0,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,21,1,2026,,16,,,,100,
22-Jan-26,0,1,H90304507343,1,,HIVPL/25-26/3094,P3252761,Zepto,Mumbai SHK,8,50,0,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,22,1,2026,,8,,,,,
23-Jan-26,0,5,H90304509187,5,,HIVPL/25-26/3116,P3325268,Zepto,Chennai ZPT,2,250,150,50,,,50,,,,,,,50,50,,,,,50,,,,0,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,23,1,2026,,40,,,,100,
23-Jan-26,0,24,H90304509190,24,,HIVPL/25-26/3015,P3138922,Zepto,Mumbai SHK,21,1200,900,100,100,0,0,100,0,,100,100,100,100,100,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,23,1,2026,,192,,,,200,100
24-Jan-26,0,6,H90304511215,6,,HIVPL/25-26/3117,P3208767,Zepto,Mumbai SHK,14,300,0,,,,,,,,,,,,,,,,,,,100,100,100,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,24,1,2026,,48,,,,,
27-Jan-26,0,8,H90304513079,8,,HIVPL/25-26/3141,P3253761,Zepto,Chennai ZPT,13,400,0,,,100,,,,,,,,,,,,,,,,100,100,100,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,27,1,2026,,64,,,,100,
03-Feb-26,0,8,H90304525585,8,,HIVPL/25-26/3223,P3400090,Zepto,Bnglr DRY,5,400,200,50,,50,50,,,,50,,50,,,,50,50,,,,50,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,3,2,2026,,64,,,,150,
05-Feb-26,0,5,H90304529678,5,,HIVPL/25-26/3245,P3463368,Zepto,Bnglr DRY,1,250,100,150,,,,,,,,,,50,,,,,50,,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,5,2,2026,,40,,,,150,
05-Feb-26,0,8,H90304529679,8,,HIVPL/25-26/3246,P3280940,Zepto,Chennai ZPT,19,400,300,,,50,,,,,50,50,50,,,,50,50,50,,,50,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,5,2,2026,,64,,,,50,
07-Feb-26,0,8,H90304533952,8,,HIVPL/25-26/3278,P3277749,Zepto,NCR JJR,12-Feb,400,150,,,50,50,,,,50,,,50,,,50,,,,,50,50,50,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,7,2,2026,,64,,,,100,
07-Feb-26,0,5,H90304533953,5,,HIVPL/25-26/3279,P3365169,Zepto,NCR JJR,12-Feb,250,0,,,,,,,,,,,,,,,,,,,,150,100,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,7,2,2026,,40,,,,,
07-Feb-26,0,13,H90304533954,13,,HIVPL/25-26/3280,P3421771,Zepto,NCR JJR,12-Feb,650,350,100,,50,50,,,,,50,50,,50,,50,50,50,50,,50,,50,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,7,2,2026,,104,,,,200,
11-Feb-26,0,8,H90304540540,8,,HIVPL/25-26/3333,P3462182,Zepto,NCR JJR,14-Feb,400,0,150,,,100,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,11,2,2026,,64,,,,250,
19-Feb-26,0,6,H90304555809,6,,HIVPL/25-26/3436,P3575826,Zepto,Bnglr DRY,5,300,50,,100,,,50,100,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,19,2,2026,,48,,,,100,150
19-Feb-26,0,9,D90304539914,9,,HIVPL/25-26/3437,P3548854,Zepto,Chennai ZPT,8,450,0,,250,,,150,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,19,2,2026,,72,,,,250,200
19-Feb-26,0,73,D90304539915,73,,HIVPL/25-26/3438,P3625862,Zepto,Chennai ZPT,1,3650,2150,250,,250,250,,,,200,250,250,250,250,,200,250,250,250,,250,250,250,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,19,2,2026,,584,,,,750,
19-Feb-26,0,8,H90304555812,8,,HIVPL/25-26/3439,P3575905,Zepto,Mumbai SHK,5,400,0,,,150,100,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,19,2,2026,,64,,,,250,150
19-Feb-26,0,8,H90304555813,8,,HIVPL/25-26/3440,P3629931,Zepto,Mumbai SHK,0,400,0,50,150,,,,150,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,19,2,2026,,64,,,,200,150
20-Feb-26,0,44,H90304557723,44,,HIVPL/25-26/3447,P3625846,Zepto,NCR FBD,23-Feb,2190,1690,250,,,,,,,250,250,140,250,250,,150,150,250,0,,250,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,20,2,2026,,352,,,,250,
20-Feb-26,0,7,H90304557725,7,,HIVPL/25-26/3448,P3512973,Zepto,NCR JJR,23-Feb,350,100,50,,50,50,,,,,50,,50,,,,,,,,100,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,20,2,2026,,56,,,,150,
20-Feb-26,0,8,H90304557726,8,,HIVPL/25-26/3450,P3570013,Zepto,NCR JJR,23-Feb,400,50,50,,50,50,100,100,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,20,2,2026,,64,,,,150,200
21-Feb-26,0,42,H90304559785,42,,HIVPL/25-26/3459,P3625854,Zepto,NCR JJR,23-Feb,2090,940,250,,250,250,,,,100,100,100,150,100,,90,100,100,100,,100,250,50,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,21,2,2026,,336,,,,750,
21-Feb-26,0,28,Porter,28,,HIVPL/25-26/3460,P3625838,Zepto,NCR GUR,22-Feb,1400,1050,250,,,,,,,100,150,100,150,100,,100,150,100,100,,100,,,,,,,,,,,,,,,,,,,Owned Vehicle,,Not Matched ❌,,,21,2,2026,,224,,,,250,
24-Feb-26,0,12,H90304564076,12,,HIVPL/25-26/3504,P3667205,Zepto,BLR-SS-MH-SUMADHURA,1,600,0,150,50,100,150,,,,,,,,,,,,,,,100,50,,,,,,,,,,,,,,,,,OOS,Movin,,Not Matched ❌,,,24,2,2026,,96,,,,450,
24-Feb-26,0,5,H90304564077,5,,HIVPL/25-26/3505,P3667556,Zepto,MUM-SS-MH-SHAKTI,1,250,150,100,,,,,,,50,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,,Not Matched ❌,,,24,2,2026,,40,,,,100,
26-Feb-26,0,9,H90304569244,9,,HIVPL/25-26/3539,P3682867,Zepto,BLR-SS-MH-SUMADHURA,1,450,100,100,,50,50,,,,,,50,,50,,,,,,,150,,,,,,,,,,,,,,,,,,OOS,Movin,,Not Matched ❌,,,26,2,2026,,72,,,,200,
02-Mar-26,0,58,D90304570133,58,,HIVPL/25-26/3580,P3677194,Zepto,BLR-SS-MH-SUMADHURA,5,2900,2300,200,,200,200,,,,200,200,200,200,200,,100,200,200,200,,200,200,200,,,,,,,,,,,,,,,,OOS,Movin,,Not Matched ❌,,,2,3,2026,,464,,,,600,
10-Mar-26,0,17,H90304589002,17,,HIVPL/25-26/3695,P3781063,Zepto,JJR-DRY-MH-LUHARI,13-Mar,850,500,200,,,50,,,,100,,,100,50,,50,50,50,100,,50,,50,,,,,,,,,,,,,,,,NCR,Movin,,Not Matched ❌,,,10,3,2026,,136,,,,250,
11-Mar-26,0,20,H90304591247,20,,HIVPL/25-26/3704,P3759134,Zepto,JJR-DRY-MH-LUHARI,13-Mar,1000,150,100,,,,100,100,,,,,,100,,50,,,,,400,150,,,,,,,,,,,,,,,,,NCR,Movin,,Not Matched ❌,,,11,3,2026,,160,,,,100,200
11-Mar-26,0,16,H90304591248,16,,HIVPL/25-26/3705,P3736319,Zepto,MUM-SS-MH-SHAKTI,9,800,350,150,100,,,150,,,,,50,100,100,,,50,,50,,50,,,,,,,,,,,,,,,,,,OOS,Movin,,Not Matched ❌,,,11,3,2026,,128,,,,250,150
12-Mar-26,0,11,H90304593760,11,,HIVPL/25-26/3723,P3817559,Zepto,JJR-DRY-MH-LUHARI,18-Mar,550,50,50,,100,100,,,,,,50,,,,,,,,,150,,100,,,,,,,,,,,,,,,,NCR,Movin,,Not Matched ❌,,,12,3,2026,,88,,,,250,
14-Mar-26,0,7,H90304598025,7,,HIVPL/25-26/3753,P3808792,Zepto,CHN-DRY-MH2-THIRUVALLUR,3,350,0,200,,,150,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,OOS,Movin,,Not Matched ❌,,,14,3,2026,,56,,,,350,
16-Mar-26,0,9,H90304599769,9,,HIVPL/25-26/3781,P3832097,Zepto,CHN-SS-MH-THIRUVALLUR,2,450,0,,200,,,150,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,,Not Matched ❌,,,16,3,2026,,72,,,,200,250
16-Mar-26,0,10,H90304599772,10,,HIVPL/25-26/3782,P3797531,Zepto,MUM-SS-MH-SHAKTI,6,500,300,50,,,50,,,,50,50,,50,50,,50,,,50,,100,0,,,,,,,,,,,,,,,,,OOS,Movin,,Not Matched ❌,,,16,3,2026,,80,,,,100,
16-Mar-26,0,4,H90304599773,4,,HIVPL/25-26/3783,P3834058,Zepto,MUM-SS-MH-SHAKTI,2,200,50,50,,50,50,,,,,,,,,,,,50,,,,0,,,,,,,,,,,,,,,,,OOS,Movin,,Not Matched ❌,,,16,3,2026,,32,,,,150,
25-Mar-26,0,13,H90304617088,13,,HIVPL/25-26/3917,P3907629,Zepto,MUM-SS-MH-SHAKTI,2,650,250,150,150,50,,,0,,50,,50,50,50,,,50,,,,50,,,,,,,,,,,,,,,,,,OOS,Movin,,Not Matched ❌,,,25,3,2026,,104,,,,350,
26-Mar-26,0,7,H90304619534,7,,HIVPL/25-26/3932,P3922734,Zepto,JJR-DRY-MH-LUHARI,30-Mar,350,100,,,100,100,,,,,,,,,,50,,,50,,,,50,,,,,,,,,,,,,,,,NCR,Movin,,Not Matched ❌,,,26,3,2026,,56,,,,200,
30-Mar-26,0,25,H90304626296,25,,HIVPL/25-26/3959,P3965036,Zepto,MUM-SS-MH-SHAKTI,0,1250,300,200,200,50,50,50,150,,50,50,100,,,,50,,,50,,100,100,50,,,,,,,,,,,,,,,,OOS,Movin,,Not Matched ❌,,,30,3,2026,,200,,,,500,200
01-Apr-26,0,7,H90304630716,7,,HIVPL/26-27/8,P3981661,Zepto,CHN-DRY-MH2-THIRUVALLUR,0,350,100,,,100,,,,,,,,50,50,,,,,,,100,50,,,,,,,,,,,,,,,,,OOS,Movin,H90304630716,Matched ✅,,,1,4,2026,NA,56,CHN-DRY-MH2-THIRUVALLUR,,,100,
02-Apr-26,0,6,H90304632365,6,,HIVPL/26-27/26,P3989170,Zepto,CHN-DRY-MH2-THIRUVALLUR,1,300,0,50,,50,100,,,,,,,,,,,,,,,50,50,,,,,,,,,,,,,,,,,OOS,Movin,H90304632365,Matched ✅,,,2,4,2026,NA,48,CHN-DRY-MH2-THIRUVALLUR,,,200,
04-Apr-26,0,20,H90304636734,20,,HIVPL/26-27/59,P3979983,Zepto,JJR-DRY-MH-LUHARI,,1000,400,150,,,100,100,100,,,,50,150,50,,,50,50,50,,100,,50,,,,,,,,,,,,,,,,NCR,Movin,H90304636734,Matched ✅,,,4,4,2026,NA,160,JJR-DRY-MH-LUHARI,,,250,200
04-Apr-26,0,13,H90304636735,13,,HIVPL/26-27/60,P3988624,Zepto,JJR-DRY-MH-LUHARI,,650,0,150,,100,,100,100,,,,,,,,,,,,,150,50,,,,,,,,,,,,,,,,,NCR,Movin,H90304636735,Matched ✅,,,4,4,2026,NA,104,JJR-DRY-MH-LUHARI,,,250,200
09-Apr-26,0,12,H90304643912,12,,HIVPL/26-27/161,P4043304,Zepto,BLR-SS-MH-SUMADHURA,1,600,0,250,50,50,150,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304643912,Matched ✅,,,9,4,2026,NA,96,BLR-SS-MH-SUMADHURA,,,500,100
09-Apr-26,0,15,H90304643913,15,,HIVPL/26-27/162,P4043413,Zepto,MUM-SS-MH-SHAKTI,1,750,200,250,,50,150,100,,,,,,100,50,,,,50,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304643913,Matched ✅,,,9,4,2026,NA,120,MUM-SS-MH-SHAKTI,,,450,100
11-Apr-26,0,12,H90304648245,12,,HIVPL/26-27/198,P4037134,Zepto,CHN-DRY-MH2-THIRUVALLUR,3,600,50,250,,50,200,,,,,,50,,,,,,,,,50,,,,,,,,,,,,,,,,,,OOS,Movin,H90304648245,Matched ✅,,,11,4,2026,NA,96,CHN-DRY-MH2-THIRUVALLUR,,,500,
14-Apr-26,0,31,H90304651906,31,,HIVPL/26-27/229,P4041284,Zepto,JJR-DRY-MH-LUHARI,16-Apr,1550,300,250,,150,200,200,150,,50,50,50,,50,,50,,,50,,100,50,150,,,,,,,,,,,,,,,,NCR,Movin,H90304651906,Matched ✅,,,14,4,2026,NA,248,JJR-DRY-MH-LUHARI,,,600,350
15-Apr-26,0,3,H90304654086,3,,HIVPL/26-27/261,P4099553,Zepto,CHN-DRY-MH2-THIRUVALLUR,0,150,100,,,50,,,,,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304654086,Matched ✅,,,15,4,2026,NA,24,CHN-DRY-MH2-THIRUVALLUR,,,50,
15-Apr-26,0,19,H90304654089,19,,HIVPL/26-27/262,P4088465,Zepto,MUM-SS-MH-SHAKTI,2,950,300,300,50,100,50,50,0,,50,50,50,100,50,,,,,,,50,,50,,,,,,,,,,,,,,,,OOS,Movin,H90304654089,Matched ✅,,,15,4,2026,NA,152,MUM-SS-MH-SHAKTI,,,500,50
16-Apr-26,0,11,H90304656587,11,,HIVPL/26-27/279,P4104741,Zepto,BLR-DRY-MH-Sumadhura2,1,550,50,100,,,50,,50,,,,,50,,,,,,,,100,100,100,,,,,,,,,,,,,,,,OOS,Movin,H90304656587,Matched ✅,,,16,4,2026,NA,88,BLR-DRY-MH-Sumadhura2,,,150,50
16-Apr-26,0,18,H90304656588,18,,HIVPL/26-27/280,P4088434,Zepto,BLR-SS-MH-SUMADHURA,3,900,0,300,100,200,200,,50,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,OOS,Movin,H90304656588,Matched ✅,,,16,4,2026,NA,144,BLR-SS-MH-SUMADHURA,,,800,50
16-Apr-26,0,12,H90304656589,12,,HIVPL/26-27/281,P4087062,Zepto,BLR-SS-MH-SUMADHURA,3,600,0,,300,,,200,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304656589,Matched ✅,,,16,4,2026,NA,96,CHN-SS-MH-THIRUVALLUR,,,300,300
16-Apr-26,0,6,H90304656590,6,,HIVPL/26-27/282,P4102085,Zepto,MUM-DRY-MH-SHAKTI,1,300,100,50,50,50,,,50,,,,,,,,,50,50,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304739355,Not Matched ❌,,,16,4,2026,NA,48,MUM-DRY-MH-SHAKTI,,,150,50
20-Apr-26,0,28,H90304663613,28,,HIVPL/26-27/334,P4100422,Zepto,JJR-DRY-MH-LUHARI,23-Apr,1400,250,100,,100,150,,,,,,50,50,50,,,,50,50,,200,350,250,,,,,,,,,,,,,,,,NCR,Movin,H90304663613,Matched ✅,,,20,4,2026,NA,224,JJR-DRY-MH-LUHARI,,,350,
22-Apr-26,0,2,H90304667598,2,,HIVPL/26-27/359,P4159964,Zepto,BLR-DRY-MH-Sumadhura2,0,100,50,,,50,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304667598,Matched ✅,,,22,4,2026,NA,16,BLR-DRY-MH-Sumadhura2,,,50,
22-Apr-26,0,6,H90304667599,6,,HIVPL/26-27/360,P4163051,Zepto,CHN-DRY-MH2-THIRUVALLUR,0,300,100,,,100,100,,,,,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304667599,Matched ✅,,,22,4,2026,NA,48,CHN-DRY-MH2-THIRUVALLUR,,,200,
23-Apr-26,0,20,H90304739356,20,,HIVPL/26-27/379,P4162469,Zepto,MUM-DRY-MH-SHAKTI,1,1000,400,,100,,,,,,50,,50,50,100,,50,,,100,,50,200,250,,,,,,,,,,,,,,,,OOS,Movin,H90304739356,Matched ✅,,,23,4,2026,NA,160,MUM-DRY-MH-SHAKTI,,,100,
28-Apr-26,0,5,H90304678911,5,,HIVPL/26-27/451,P4161895,Zepto,FBD-DRY-MH,30-Apr,250,0,,,,,,,,,,,,,,,,,,,150,,100,,,,,,,,,,,,,,,,NCR,Movin,H90304678911,Matched ✅,,,28,4,2026,NA,40,FBD-DRY-MH,,,,
30-Apr-26,0,9,H90304683977,9,,HIVPL/26-27/476,P4217284,Zepto,BLR-DRY-MH-Sumadhura2,1,450,150,,,,,,,,,,,50,100,,,,,,,200,100,,,,,,,,,,,,,,,,,OOS,Movin,H90304683977,Matched ✅,,,30,4,2026,NA,72,BLR-DRY-MH-Sumadhura2,,,,
30-Apr-26,0,22,H90304683978,22,,HIVPL/26-27/477,P4165194,Zepto,JJR-DRY-MH-LUHARI,04-May,1100,200,200,,50,200,100,100,,,,50,100,50,,,,,,,200,,50,,,,,,,,,,,,,,,,NCR,Movin,H90304683978,Matched ✅,,,30,4,2026,NA,176,JJR-DRY-MH-LUHARI,,,450,200
01-May-26,0,7,H90304686356,7,,HIVPL/26-27/495,P4218454,Zepto,CHN-DRY-MH2-THIRUVALLUR,2,350,0,,,150,50,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,OOS,Movin,H90304686356,Matched ✅,,,1,5,2026,NA,56,CHN-DRY-MH2-THIRUVALLUR,,,200,
04-May-26,0,17,H90304689358,17,,HIVPL/26-27/521,P4219189,Zepto,JJR-DRY-MH-LUHARI,07-May,850,350,100,200,50,50,100,,,,,,,100,,50,50,50,100,,,,,,,,,,,,,,,,,,,,NCR,Movin,H90304689358,Matched ✅,,,4,5,2026,NA,136,JJR-DRY-MH-LUHARI,,,400,100
05-May-26,0,5,H90304691541,5,,HIVPL/26-27/533,P4218810,Zepto,FBD-DRY-MH,07-May,250,0,100,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,NCR,Movin,H90304691541,Matched ✅,,,5,5,2026,NA,40,FBD-DRY-MH,,,100,
06-May-26,0,6,H90304693572,6,,HIVPL/26-27/557,P4274587,Zepto,BLR-DRY-MH-Sumadhura2,0,300,0,,50,100,100,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,OOS,Movin,H90304693572,Matched ✅,,,6,5,2026,NA,48,BLR-DRY-MH-Sumadhura2,,,250,
06-May-26,0,2,H90304693574,2,,HIVPL/26-27/558,P4275896,Zepto,CHN-DRY-MH2-THIRUVALLUR,0,100,50,,,,50,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304693574,Matched ✅,,,6,5,2026,NA,16,CHN-DRY-MH2-THIRUVALLUR,,,50,
06-May-26,0,17,H90304693575,17,,HIVPL/26-27/559,P4277610,Zepto,MUM-DRY-MH-SHAKTI,0,850,450,150,,,150,,,,100,100,,50,100,,50,50,,,,100,,,,,,,,,,,,,,,,,,OOS,Movin,H90304739357,Not Matched ❌,,,6,5,2026,NA,136,MUM-DRY-MH-SHAKTI,,,300,
11-May-26,0,2,H90304703234,2,,HIVPL/26-27/620,P4273769,Zepto,FBD-DRY-MH,15-May,100,0,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,NCR,Movin,H90304703234,Matched ✅,,,11,5,2026,NA,16,FBD-DRY-MH,,,,
11-May-26,0,15,H90304703235,15,,HIVPL/26-27/621,P4277387,Zepto,JJR-DRY-MH-LUHARI,15-May,750,50,50,,,100,,,,,50,,,,,,,,,,450,50,50,,,,,,,,,,,,,,,,NCR,Movin,H90304703235,Matched ✅,,,11,5,2026,NA,120,JJR-DRY-MH-LUHARI,,,150,
14-May-26,0,9,H90304710176,11,,HIVPL/26-27/643,P4337763,Zepto,BLR-DRY-MH-Sumadhura2,1,650,200,50,,200,200,0,,,,,,100,50,,,,,50,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304710176,Matched ✅,,,14,5,2026,NA,88,BLR-DRY-MH-Sumadhura2,,,450,
16-May-26,0,10,H90304715407,10,,HIVPL/26-27/694,P4336786,Zepto,CHN-DRY-MH2-THIRUVALLUR,3,500,150,100,,50,150,,,,50,,,50,50,,,,,,,,50,,,,,,,,,,,,,,,,,OOS,Movin,H90304715407,Matched ✅,,,16,5,2026,NA,80,CHN-DRY-MH2-THIRUVALLUR,,,300,
16-May-26,0,13,H90304715410,13,,HIVPL/26-27/695,P4336639,Zepto,MUM-DRY-MH-SHAKTI,3,650,200,,100,50,,0,,,,,50,50,,,,,50,50,,150,150,,,,,,,,,,,,,,,,,OOS,Movin,H90304739359,Not Matched ❌,,,16,5,2026,NA,104,MUM-DRY-MH-SHAKTI,,,150,
18-May-26,0,2,H90304718025,2,,HIVPL/26-27/724,P4336154,Zepto,FBD-DRY-MH,21-May,100,0,50,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,NCR,Movin,H90304718025,Matched ✅,,,18,5,2026,NA,16,FBD-DRY-MH,,,50,
18-May-26,0,14,H90304718027,14,,HIVPL/26-27/725,P4338984,Zepto,JJR-DRY-MH-LUHARI,21-May,700,250,150,,150,100,,0,,,50,50,50,50,,,,,50,,,,50,,,,,,,,,,,,,,,,NCR,Movin,H90304718027,Matched ✅,,,18,5,2026,NA,112,JJR-DRY-MH-LUHARI,,,400,
19-May-26,0,4,SR-20904218225836,4,,HIVPL/26-27/744,P4388741,Zepto,HYD-MH 3,1,200,0,50,,,,,,,,,,,,,,,,,,50,50,50,,,,,,,,,,,,,,,,OOS,Shiprocket,SR-20904218225836,Matched ✅,,,19,5,2026,NA,32,HYD-MH 3,,,50,
20-May-26,0,4,H90304722292,4,,HIVPL/26-27/753,P4400720,Zepto,Bnglr MYLP,1,200,0,50,,,,,,,,,,,,,,,,,,50,50,50,,,,,,,,,,,,,,,,,Movin,H90304722292,Matched ✅,,,20,5,2026,NA,32,BLR-MYLAPURA MH,,,50,
